Algoritmo;Tipo;Cantidad;Tiempo
Insertion Sort;Aleatorios;25000;852996700
Insertion Sort;Ordenados;25000;596100
Merge Sort;Aleatorios;25000;15332400
Merge Sort;Ordenados;25000;49405200
Quick Sort;Aleatorios;25000;21740400
Quick Sort;Ordenados;25000;2457578400
Radix Sort;Ordenados;25000;24676600
Heap Sort;Aleatorios;25000;13473200
Heap Sort;Ordenados;25000;6544800
Insertion Sort;Aleatorios;10000;347614900
Insertion Sort;Ordenados;10000;331700
Merge Sort;Aleatorios;10000;6648600
Merge Sort;Ordenados;10000;17435200
Quick Sort;Aleatorios;10000;5279200
Quick Sort;Ordenados;10000;363921100
Radix Sort;Aleatorios;10000;19267300
Radix Sort;Ordenados;10000;2818600
Heap Sort;Aleatorios;10000;9864000
Heap Sort;Ordenados;10000;2633700
